Zip Code,City,County,Population
27537,Henderson,Vance County,23736.0
28209,Charlotte,Mecklenburg County,23533.0
28147,Salisbury,Rowan County,23495.0
27288,Eden,Rockingham County,23436.0
28334,Dunn,Harnett County,23410.0
27401,Greensboro,Guilford County,23388.0
28613,Conover,Catawba County,23353.0
28443,Hampstead,Pender County,23266.0
27701,Durham,Durham County,23112.0
27403,Greensboro,Guilford County,22867.0
28804,Asheville,Buncombe County,22511.0
28532,Havelock,Craven County,22220.0
27263,High Point,Guilford County,21886.0
28504,Kinston,Lenoir County,21717.0
28120,Mount Holly,Gaston County,21582.0
28787,Weaverville,Buncombe County,21533.0
28739,Hendersonville,Henderson County,21492.0
28659,North Wilkesboro,Wilkes County,21457.0
28570,Newport,Carteret County,21402.0
27712,Durham,Durham County,21301.0
27546,Lillington,Harnett County,21129.0
27501,Angier,Harnett County,21055.0
28786,Waynesville,Haywood County,21004.0
27203,Asheboro,Randolph County,20983.0
27896,Wilson,Wilson County,20791.0
28037,Denver,Lincoln County,20619.0
27591,Wendell,Wake County,20562.0
27312,Pittsboro,Chatham County,20508.0
28461,Southport,Brunswick County,20506.0
28139,Rutherfordton,Rutherford County,20467.0
28043,Forest City,Rutherford County,20339.0
27617,Raleigh,Wake County,20281.0
27886,Tarboro,Edgecombe County,20280.0
28630,Granite Falls,Caldwell County,20262.0
27518,Cary,Wake County,20102.0
27801,Rocky Mount,Edgecombe County,20065.0
28805,Asheville,Buncombe County,19952.0
28712,Brevard,Transylvania County,19847.0
27101,Winston Salem,Forsyth County,19713.0
28906,Murphy,Cherokee County,19701.0
28704,Arden,Buncombe County,19261.0
27344,Siler City,Chatham County,19116.0
28075,Harrisburg,Cabarrus County,19099.0
28472,Whiteville,Columbus County,18522.0
28779,Sylva,Jackson County,18477.0
28574,Richlands,Onslow County,18448.0
27408,Greensboro,Guilford County,18323.0
28036,Davidson,Mecklenburg County,18266.0
27576,Selma,Johnston County,18222.0
28732,Fletcher,Henderson County,18107.0
27596,Youngsville,Franklin County,18043.0
27803,Rocky Mount,Nash County,17905.0
28501,Kinston,Lenoir County,17772.0
28716,Canton,Haywood County,17770.0
27021,King,Stokes County,17489.0
28034,Dallas,Gaston County,17386.0
28374,Pinehurst,Moore County,17347.0
27856,Nashville,Nash County,17258.0
27409,Greensboro,Guilford County,17223.0
27282,Jamestown,Guilford County,17090.0
28307,Fort Bragg,Cumberland County,17065.0
28327,Carthage,Moore County,17013.0
28714,Burnsville,Yancey County,16941.0
28301,Fayetteville,Cumberland County,16929.0
28203,Charlotte,Mecklenburg County,16655.0
27536,Henderson,Vance County,16522.0
28539,Hubert,Onslow County,16509.0
27317,Randleman,Randolph County,16169.0
28023,China Grove,Rowan County,16129.0
27244,Elon College,Alamance County,16036.0
27592,Willow Spring,Wake County,15972.0
28164,Stanley,Gaston County,15623.0
27504,Benson,Johnston County,15593.0
28365,Mount Olive,Wayne County,15533.0
28791,Hendersonville,Henderson County,15528.0
28387,Southern Pines,Moore County,15437.0
28557,Morehead City,Carteret County,15298.0
27510,Carrboro,Orange County,15117.0
27358,Summerfield,Guilford County,15028.0
27525,Franklinton,Franklin County,14819.0
28360,Lumberton,Robeson County,14769.0
28364,Maxton,Robeson County,14732.0
28551,La Grange,Lenoir County,14684.0
27370,Trinity,Randolph County,14409.0
28021,Cherryville,Gaston County,14408.0
27006,Advance,Davie County,14329.0
27892,Williamston,Martin County,14217.0
28372,Pembroke,Robeson County,14196.0
28697,Wilkesboro,Wilkes County,13833.0
28801,Asheville,Buncombe County,13790.0
27524,Four Oaks,Johnston County,13675.0
28202,Charlotte,Mecklenburg County,13498.0
28016,Bessemer City,Gaston County,13405.0
28315,Aberdeen,Moore County,13303.0
28711,Black Mountain,Buncombe County,13269.0
27055,Yadkinville,Yadkin County,13145.0
28580,Snow Hill,Greene County,13010.0
28462,Supply,Brunswick County,12917.0
28470,Shallotte,Brunswick County,12812.0
27863,Pikeville,Wayne County,12782.0
27023,Lewisville,Forsyth County,12728.0
28377,Red Springs,Robeson County,12654.0
28748,Leicester,Buncombe County,12606.0
27522,Creedmoor,Granville County,12552.0
28584,Swansboro,Onslow County,12536.0
27040,Pfafftown,Forsyth County,12519.0
28612,Connellys Springs,Burke County,12314.0
28638,Hudson,Caldwell County,12277.0
27932,Edenton,Chowan County,12129.0
28206,Charlotte,Mecklenburg County,12036.0
28345,Hamlet,Richmond County,12003.0
27249,Gibsonville,Guilford County,11882.0
28425,Burgaw,Pender County,11833.0
27214,Browns Summit,Guilford County,11825.0
27944,Hertford,Perquimans County,11756.0
27910,Ahoskie,Hertford County,11691.0
28516,Beaufort,Carteret County,11455.0
27573,Roxboro,Person County,11391.0
27958,Moyock,Currituck County,11354.0
28103,Marshville,Union County,11281.0
27948,Kill Devil Hills,Dare County,11245.0
27608,Raleigh,Wake County,11203.0
28170,Wadesboro,Anson County,11187.0
28384,Saint Pauls,Robeson County,11162.0
28134,Pineville,Mecklenburg County,11037.0
28650,Maiden,Catawba County,10955.0
27025,Madison,Rockingham County,10937.0
27298,Liberty,Randolph County,10925.0
28723,Cullowhee,Jackson County,10918.0
28333,Dudley,Wayne County,10902.0
28460,Sneads Ferry,Onslow County,10845.0
28777,Spruce Pine,Mitchell County,10717.0
28467,Calabash,Brunswick County,10688.0
28610,Claremont,Catawba County,10639.0
28621,Elkin,Surry County,10637.0
28337,Elizabethtown,Bladen County,10574.0
