Zip Code,City,County,Population
27531,Goldsboro,Wayne County,778.0
28631,Grassy Creek,Ashe County,758.0
28017,Boiling Springs,Cleveland County,730.0
27862,Pendleton,Northampton County,727.0
28007,Ansonville,Anson County,720.0
27960,Ocracoke,Hyde County,706.0
27922,Cofield,Hertford County,687.0
27555,Micro,Johnston County,672.0
27964,Point Harbor,Currituck County,661.0
27942,Harrellsville,Hertford County,658.0
27847,Kelford,Bertie County,649.0
27917,Barco,Currituck County,647.0
28579,Smyrna,Carteret County,639.0
28511,Atlantic,Carteret County,626.0
28528,Gloucester,Carteret County,619.0
28663,Piney Creek,Alleghany County,616.0
27568,Pine Level,Johnston County,607.0
27042,Pine Hall,Stokes County,606.0
28325,Calypso,Duplin County,605.0
27853,Margarettsville,Northampton County,591.0
28308,Pope A F B,Cumberland County,588.0
27956,Maple,Currituck County,549.0
28671,Rutherford College,Burke County,545.0
27872,Roxobel,Bertie County,535.0
28076,Henrietta,Rutherford County,521.0
28575,Salter Path,Carteret County,481.0
28668,Roaring Gap,Alleghany County,481.0
27875,Scranton,Hyde County,477.0
28628,Glen Alpine,Burke County,476.0
28077,High Shoals,Gaston County,467.0
27943,Hatteras,Dare County,460.0
28702,Almond,Swain County,456.0
28332,Dublin,Bladen County,442.0
27941,Harbinger,Currituck County,424.0
27915,Avon,Dare County,421.0
28745,Lake Junaluska,Haywood County,417.0
27873,Saratoga,Wilson County,413.0
27582,Stovall,Granville County,409.0
28553,Marshallberg,Carteret County,402.0
27965,Poplar Branch,Currituck County,399.0
27985,Winfall,Perquimans County,390.0
28718,Cedar Mountain,Transylvania County,379.0
28581,Stacy,Carteret County,361.0
28667,Rhodhiss,Caldwell County,360.0
28519,Bridgeton,Craven County,341.0
28109,Misenheimer,Stanly County,334.0
28577,Sealevel,Carteret County,333.0
27840,Hamilton,Martin County,328.0
28708,Balsam Grove,Transylvania County,318.0
27879,Simpson,Pitt County,316.0
28583,Stonewall,Pamlico County,313.0
28646,Linville,Avery County,310.0
28775,Scaly Mountain,Macon County,304.0
28735,Gerton,Henderson County,303.0
28330,Cordova,Richmond County,293.0
28524,Davis,Carteret County,285.0
28587,Vandemere,Pamlico County,263.0
27819,Conetoe,Edgecombe County,249.0
28520,Cedar Island,Carteret County,243.0
27556,Middleburg,Vance County,238.0
28089,Lattimore,Cleveland County,227.0
27821,Edward,Beaufort County,225.0
28342,Falcon,Cumberland County,216.0
28554,Maury,Greene County,205.0
28169,Waco,Cleveland County,202.0
28707,Balsam,Jackson County,201.0
28662,Pineola,Avery County,193.0
27978,Stumpy Point,Dare County,184.0
28720,Chimney Rock,Rutherford County,177.0
27967,Powellsville,Bertie County,174.0
28552,Lowland,Pamlico County,169.0
28616,Crossnore,Avery County,166.0
28375,Proctorville,Robeson County,164.0
28108,Mineral Springs,Union County,160.0
27881,Speed,Edgecombe County,146.0
28350,Lakeview,Moore County,144.0
27968,Rodanthe,Dare County,141.0
28749,Little Switzerland,Mcdowell County,138.0
28666,Icard,Burke County,138.0
28589,Williston,Carteret County,131.0
28367,Norman,Richmond County,126.0
28757,Montreat,Buncombe County,100.0
28102,Mc Farlan,Anson County,95.0
27972,Salvo,Dare County,91.0
28537,Hobucken,Pamlico County,90.0
28039,East Spencer,Rowan County,82.0
27201,Alamance,Alamance County,66.0
27827,Falkland,Pitt County,59.0
27982,Waves,Dare County,56.0
28424,Brunswick,Columbus County,48.0
27825,Everetts,Martin County,46.0
27861,Parmele,Martin County,44.0
27340,Saxapahaw,Alamance County,43.0
28733,Fontana Dam,Graham County,27.0
28725,Dillsboro,Jackson County,26.0
28647,Linville Falls,Burke County,16.0
27841,Hassell,Martin County,16.0
28672,Scottville,Ashe County,15.0
28629,Glendale Springs,Ashe County,
28282,Charlotte,Mecklenburg County,
28244,Charlotte,Mecklenburg County,
28280,Charlotte,Mecklenburg County,
28019,Caroleen,Rutherford County,
28652,Minneapolis,Avery County,
